Day,Animal quantity,Plants quantity,Free fields quantity,Most popular genotype,Avg animal energy,Avg life span
1,5,10,895,[ B0 L1 R1 N0 L2 ],9.0,0.0
2,5,14,895,[ B0 L1 R1 N0 L2 ],6.4,0.0
3,4,18,896,[ B0 L1 R1 N0 L2 ],5.25,3.0
4,3,22,897,[ B0 L1 R1 N0 L2 ],4.0,3.5
5,2,26,898,[ R2 N0 B0 R2 L2 ],5.0,4.0
6,2,30,898,[ R2 N0 B0 R2 L2 ],4.0,4.0
7,2,34,898,[ R2 N0 B0 R2 L2 ],3.0,4.0
8,2,38,898,[ R2 N0 B0 R2 L2 ],2.0,4.0
9,2,42,898,[ R2 N0 B0 R2 L2 ],1.0,4.0
10,0,46,900,[ ],0.0,6.4
